"2"	"50.95"	"208"	"0"	"9/25/2013 23:49:18"	"2"	"40.64289,-74.21316 40.64275,-74.21222 40.64281,-74.20994 40.64262,-74.20876 40.64133,-74.20626 40.6402,-74.20438 40.63977,-74.20367 40.63921,-74.20284 40.63785,-74.2008 40.63727,-74.19989 40.63632,-74.19808 40.63511,-74.19581 40.63381,-74.19336 40.63086,-74.18784 40.63017,-74.18652 40.62929,-74.18495 40.62783,-74.18236 40.6263,-74.17966 40.62456,-74.1776 40.62304,-74.17593 40.62226,-74.17479 40.62153,-74.17271 40.62098,-74.16892"	"aaawFdw}cMZyDKgMd@mF`GsN`FwJtAkCnBgDnGwKrBuD|DgJpFgMbGiNlQoa@hCgGnDwHbHeOpH}OzI{KnHmIzCaFpCaLlBsV"	"BBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616279"	"Staten Island"	"278 E Brunswick Av - SIE E South Av"
"3"	"42.87"	"283"	"0"	"9/25/2013 23:49:18"	"3"	"40.62464,-74.17757 40.62345,-74.17679 40.62242,-74.17657 40.62144,-74.17652 40.62017,-74.17683 40.61893,-74.17729 40.61786,-74.17757
 40.62464,-74.17757 40.62345,-74.17679 40.62242,-74.17657 40.62144,-74.17652 40.62017,-74.17683 40.61893,-74.17729 40.61786,-74.17757 40.61604,-74.17823 40.60784,-74.18308 40.60498,-74.18503 40.60212,-74.18803"	"_o}vFxxvcMlF}ClEk@bEI|F|@vF|AtEv@jJ`Cfr@j]zPbKzPvQ"	"BBBBBBBBBBB"	"NYC_DOT_LIC"	"4616280"	"Staten Island"	"278 E Brunswick Av - WSE S South Av"
"4"	"3.11"	"2451"	"0"	"9/25/2013 21:51:18"	"4"	"40.5256,-74.23039 40.52551,-74.23214 40.52539,-74.23344 40.52526,-74.23765 40.52493,-74.24395 40.5247,-74.24803 40.52455,-74.25073 40.5243,-74.25314 40.52419,-74.25536 40.52419,-74.25623 40.52458,-74.26033 40.52477,-74.2621 40.52528,-74.26624 40.52548,-74.26742 40.52638,-74.27009"	"_djvF|badMP|IV`GXhY`Ajf@l@pX\zOp@`NTxL?nDmApXe@bJeBxXg@jFsDtO"	"BBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616281"	"Staten Island"	"440 N Francis Street - WSE N Tyrellan Ave"
"16"	"60.89"	"113"	"0"	"9/25/2013 23:48:53"	"16"	"40.86844,-73.83256 40.87065,-73.83354 40.87304,-73.83417 40.87562,-73.83425 40.87744,-73.83392 40.87872,-73.83328 40.87992,-73.83224 40.88113,-73.83088 40.88186,-73.82975 40.88276,-73.82816 40.88386,-73.82575 40.88469,-73.82336 40.88649,-73.81637 40.88666,-73.815311 40.88673,-73.814421 40.88669,-73.81283 40.88647,-73.81131 "	"wbmxFnlsaMyLbE}M|BcONkJaA_G_CoFoEqFoGqCaFsD}H{EaNeD}MgJuj@a@sEMqDF}Hj@oH"	"BBBBBBBBBBBBBBBBB"	"NYC Thruway Tarrytown"	"4575255"	"Bronx"	"BE N BAYCHESTER AVE - WESTCHESTER COUNTY LINE"
"17"	"62.76"	"126"	"0"	"9/25/2013 23:49:18"	"17"	"40.8271606,-73.84993 40.82771,-73.84671 40.8284105,-73.843471 40.82869,-73.84133 40.8287905,-73.8386 40.82891,-73.837 40.8292,-73.835541 
40.82968,-73.834031 40.8305,-73.83239 40.83211,-73.82983 40.83305,-73.82826 40.83366,-73.82693 40.8343006,-73.82571 40.83494,-73.82509 40.83581,-73.824671 40.8366506,-73.824621 40.83731,-73.82478 40.8381506,-73.82513 40.83883,-73.82526 "	"w`exF~xvaMmBaSkCiSw@iLScPW}Hy@eH_BmHcDeIaIaO{DwHyBiG_CsF_C{BmDuAgDIcC`@gDbAgCZ"	"BBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616247"	"Bronx"	"BE N CASTLE HILL AVE - WATERBURY AVE"
"18"	"6.84"	"519"	"0"	"3/1/2013 10:56:36"	"18"	"40.82003,-73.890381 40.82039,-73.890031 40.8216505,-73.88818 40.82229,-73.88741 40.82236,-73.887211 40.8237504,-73.87679 40.8240706,-73.8743 40.82003,-73.890381 40.82039,-73.890031 40.8216505,-73.88818 40.82229,-73.88741 40.82236,-73.887211 40.8237504,-73.87679 40.8240706,-73.8743"	"etcxFzu~aMgAeA{FqJ_CyCMg@uGc`A_AqN"	"BBBBBBB"	"NYC_DOT_LIC"	"4616244"	"Bronx"	"BE N Sherdian Expressway-Stratford Avenue
BE N Stratford Avenue -Castle Hill Avenue"
"20"	"65.24"	"71"	"0"	"9/25/2013 23:49:18"	"20"	"40.8240706,-73.874311 40.8247,-73.86959 40.8251906,-73.86596 40.82536,-73.86426 40.82587,-73.85961 40.8266006,-73.85424 40.8271806,-73.84994"	"mmdxFjq{aM}Bm\aBwUa@sIeB_\qCq`@sB{Y"	"BBBBBBB"	"NYC_DOT_LIC"	"4616246"	"Bronx"	"BE N Stratford Avenue -Castle Hill Avenue"
"22"	"49.71"	"132"	"0"	"3/1/2013 10:56:36"	"22"	"40.80216,-73.91646 40.802561,-73.91611 40.802851,-73.915771 40.80304,-73.91545 40.80326,-73.914881 40.8034904,-73.9141 40.8037006,-73.9136 40.8043005,-73.91235 40.8045705,-73.911931 40.80498,-73.911111 40.8060905,-73.908661 40.80702,-73.90644 40.8073005,-73.905931 40.8111704,-73.900471 40.8135905,-73.897101 40.8139506,-73.896701 40.8200406,-73.89037 "	"od`xFzxcbMoAeAy@cAe@_Ak@qBm@{Ci@cBwByFu@sAqAcD}EiNyD{Lw@eBeWca@cNaTgAoAae@qf@"	"BBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616243"	"Bronx"	"BE N TBB-Sherdian Expressway"
"25"	"75.81"	"108"	"0"	"4/12/2013 02:04:23"	"25"	"40.83872,-73.825301 40.839451,-73.82537 40.840101,-73.825421 40.8415904,-73.825561 40.8452906,-73.82567 40.8459,-73.8258 40.8463206,-73.82595 40.84676,-73.826151 40.8471905,-73.82639 40.84812,-73.82688 40.84868,-73.82705 40.84913,-73.82716 40.8496806,-73.8272 40.8500304,-73.827181 40.85072,-73.827081 40.8512906,-73.82689 40.85327,-73.826241 40.8546,-73.82613 40.8545806,-73.82612 40.85587,-73.826241 40.85678,-73.826371 40.85866,-73.826851 40.8595004,-73.827181 40.86037,-73.82754 40.8609606,-73.827931 40.862911,-73.82942 40.8652806,-73.83086 40.868441,-73.83256"	"_igxFb_raMqCLaCHiHZcVTyBXsA\wAf@uAn@yD`BoB`@yATmBFeACiCSqBe@kKaCqCUsBAaGVuDXwJ~AgD`AmDfAuBlAeKhHyM~GwRrI"	"BBBBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616248"	"Bronx"	"BE N: Waterbury Ave - Baychester Ave"
"27"	"59.03"	"59"	"0"	"9/25/2013 23:49:18"	"27"	"40.83874,-73.82571 40.8415,-73.825791 40.8451806,-73.825871 40.8463206,-73.82616 40.84716,-73.826591 40.84821,-73.82715 40.8492306,-73.827401 40.85022,-73.827401 40.851361,-73.82711 40.8523804,-73.82674 40.85356,-73.826411 40.8545806,-73.82635 40.8580904,-73.826861 40.85911,-73.82719 40.8599704,-73.827531 40.8609,-73.82832 40.8617405,-73.829241 40.8628605,-73.82996 40.865441,-73.83118 40.869941,-73.833491"	"cigxFtaraMgPN_VNcFx@gDtAqEnBkEp@eE?cFy@kEiAkFaAkEK}TdBkE`AkDbAyD|CgDvD_FnCcOrFc[lM"	"BBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616263"	"Bronx"	"BE S: Baychester Ave - Waterbury Ave"
